stimulus_id,stimulus_name,language,screen_id,global_sent_index,text
1,PopSci_MultiplEYE,de,1,0,Das MultiplEYE Projekt
1,PopSci_MultiplEYE,de,1,1,"Der Name „MultiplEYE“ ist ein Wortspiel, das „multilingualism“ (Englisch: Mehrsprachigkeit) oder „multiple languages“ (Englisch: mehrere Sprachen) mit „eye“ (Englisch: Auge) aus „Eye-Tracking“ (Englisch: Blickverfolgung) verbindet."
1,PopSci_MultiplEYE,de,1,2,MultiplEYE ist eine von der Europäischen Union finanzierte COST Action.
1,PopSci_MultiplEYE,de,1,3,"COST Actions sind Forschungsnetzwerke, die von der European Cooperation in Science and Technology, oder kurz COST, unterstützt werden."
1,PopSci_MultiplEYE,de,2,4,"Als Förderorganisation unterstützt COST unser ständig wachsendes Netzwerk von Forschern in ganz Europa und darüber hinaus, indem es finanzielle Mittel für die Durchführung verschiedener Arten von Networking-Aktivitäten bereitstellt."
1,PopSci_MultiplEYE,de,2,5,"Zu diesen Aktivitäten gehören Arbeitsgruppentreffen, Weiterbildungskurse, um Expertise an jüngeren Forscher weiterzugeben, und wissenschaftliche Forschungsaufenthalte."
1,PopSci_MultiplEYE,de,3,6,Der Projekttitel der MultiplEYE
1,PopSci_MultiplEYE,de,3,7,COST
1,PopSci_MultiplEYE,de,3,8,Action lautet: Ermöglichung der mehrsprachigen Eye-Tracking-Datenerfassung für die menschliche und maschinelle Sprachverarbeitungsforschung (übersetzt aus dem Englischen).
1,PopSci_MultiplEYE,de,3,9,"Das bedeutet, dass die MultiplEYE COST Action darauf abzielt, ein interdisziplinäres Netzwerk von Forschungsgruppen zu fördern, die an der Erhebung von Augenbewegungsdaten beim Lesen in verschiedenen Sprachen arbeiten."
1,PopSci_MultiplEYE,de,4,10,"Ziel ist es, die Entwicklung eines großen mehrsprachigen Korpus von Augenbewegungsdaten zu unterstützen und es Forschern zu ermöglichen, Daten zu sammeln, indem sie ihr Expertenwissen aus verschiedenen Disziplinen teilen."
1,PopSci_MultiplEYE,de,4,11,"Dazu gehören Linguistik, Psychologie, Sprach- und Lesetherapie und Informatik."
