stimulus_id,stimulus_name,language,screen_id,global_sent_index,text
1,PopSci_MultiplEYE,el,1,0,Καλωσήρθατε στο MultiplEYE!
1,PopSci_MultiplEYE,el,1,1,"Το όνομα ""MultiplEYE"" είναι ένα λογοπαίγνιο που συνδυάζει τους όρους ""πολυγλωσσία"" ή ""πολλές γλώσσες"" και ""οφθαλμός” που συνδέεται με την “οφθαλμοκίνηση""."
1,PopSci_MultiplEYE,el,1,2,Το MultiplEYE είναι μια δράση COST που χρηματοδοτείται από την Ευρωπαϊκή Ένωση.
1,PopSci_MultiplEYE,el,1,3,Οι δράσεις COST περιλαμβάνουν ερευνητικά δίκτυα που υποστηρίζονται από την Ευρωπαϊκή Συνεργασία  για την Επιστήμη και την Τεχνολογία ή εν συντομία COST.
1,PopSci_MultiplEYE,el,1,4,"Ως χρηματοδοτικός οργανισμός, οι δράσεις COST υποστηρίζουν ένα αναπτυσσόμενο δίκτυο ερευνητών σε όλη την Ευρώπη και πέραν αυτής, παρέχοντας οικονομική βοήθεια για τη διεξαγωγή δραστηριοτήτων δικτύωσης/ερευνητικής συνεργασίας."
1,PopSci_MultiplEYE,el,2,5,"Οι δραστηριότητες αυτές περιλαμβάνουν συναντήσεις ομάδων εργασίας, σχολές κατάρτισης για την ανταλλαγή δεξιοτήτων με νεότερους ερευνητές και ταξίδια ανταλλαγής για επιστημονική έρευνα."
1,PopSci_MultiplEYE,el,2,6,Ο τίτλος του έργου της δράσης COST MultiplEYE είναι: Enabling multilingual eye-tracking data collection for human and machine language processing research (Βοηθώντας τη συλλογή δεδομένων οφθαλμοκίνησης από πολλές ανθρώπινες γλώσσες και την έρευνα επεξεργασίας φυσικής γλώσσας).
1,PopSci_MultiplEYE,el,2,7,Αυτό σημαίνει ότι η δράση COST MultiplEYE έχει στόχο την ενίσχυση ενός διεπιστημονικού δικτύου ερευνητικών ομάδων που ασχολούνται με τη συλλογή δεδομένων οφθαλμοκίνησης από την ανάγνωση σε πολλές γλώσσες.
1,PopSci_MultiplEYE,el,3,8,Σκοπός μας είναι η οικονομική υποστήριξη για την ανάπτυξη ενός μεγάλου πολύγλωσσου σώματος δεδομένων οφθαλμοκίνησης.
1,PopSci_MultiplEYE,el,3,9,"Θέλουμε, επίσης, να δοθεί η δυνατότητα στους ερευνητές να συλλέγουν δεδομένα ανταλλάσσοντας γνώσεις μεταξύ διαφορετικών επιστημονικών πεδίων, όπως η γλωσσολογία, η ψυχολογία, η παθολογία λόγου και ομιλίας και η πληροφορική."
1,PopSci_MultiplEYE,el,3,10,"Τα δεδομένα που θα συλλεχθούν μπορούν στη συνέχεια να αξιοποιηθούν για τη μελέτη της γλωσσικής επεξεργασίας από ψυχογλωσσολογική άποψη, καθώς και για τη βελτίωση και αξιολόγηση της υπολογιστικής επεξεργασίας από την άποψη της μηχανικής μάθησης."
1,PopSci_MultiplEYE,el,4,11,Τι είναι η ''οφθαλμοκίνηση'';
1,PopSci_MultiplEYE,el,4,12,"Η οφθαλμοκίνηση είναι η διαδικασία υπολογισμού του σημείου που πέφτει το βλέμμα _ πού κοιτάτε δηλαδή _ και της μέτρησης των κινήσεων των ματιών, όπως αυτά μεταξύ περνάνε από σταθερά σημεία."
1,PopSci_MultiplEYE,el,4,13,Η συσκευή που χρησιμοποιείται για τον υπολογισμό της θέσης των ματιών και των κινήσεων των ματιών ονομάζεται συσκευή μέτρησης της οφθαλμικής κίνησης (eye tracker).
1,PopSci_MultiplEYE,el,4,14,"Αποτελείται από μια υπέρυθρη κάμερα, η οποία χρησιμοποιεί μια συχνότητα φωτός που δεν ενοχλεί και δεν βλάπτει το ανθρώπινο μάτι."
1,PopSci_MultiplEYE,el,5,15,"Με τη βοήθεια αλγορίθμων αναγνώρισης εικόνας, ο eye-tracker μπορεί να υπολογίσει τα σημεία που πέφτει το βλέμμα με μεγάλη ακρίβεια, παίρνοντας πληροφορίες από τη θέση του κεφαλιού και των ματιών, την απόσταση από την οθόνη που κοιτάζει ένας συμμετέχων και τη θέση του ίδιου του μηχανήματος."
1,PopSci_MultiplEYE,el,5,16,Η οφθαλμοκίνηση είναι μια χρήσιμη τεχνολογία με πολλές εφαρμογές.
1,PopSci_MultiplEYE,el,5,17,"Μπορεί, για παράδειγμα, να βοηθήσει στην ανίχνευση της κούρασης κατά την οδήγηση ή μπορεί να βοηθήσει στην ανάπτυξη εφαρμογών εξέτασης και εκπαίδευσης αλγορίθμων στον ιατρικό τομέα."
1,PopSci_MultiplEYE,el,5,18,"Η οφθαλμοκίνηση χρησιμοποιείται επίσης στα videogames, στο μάρκετινγκ και στην αλληλεπίδραση ανθρώπου-υπολογιστή."
1,PopSci_MultiplEYE,el,6,19,Γιατί η οφθαλμοκίνηση κατά την ανάγνωση είναι ιδιαίτερα ενδιαφέρουσα για το έργο μας;
