stimulus_id,stimulus_name,language,screen_id,global_sent_index,text
1,PopSci_MultiplEYE,it,1,0,Il Progetto MultiplEYE
1,PopSci_MultiplEYE,it,1,1,"Il nome “MultiplEYE” è un gioco di parole che unisce “multilinguismo” o “più lingue” con “occhio”, da “eye-tracking” (monitoraggio oculare)."
1,PopSci_MultiplEYE,it,1,2,MultiplEYE è una COST Action finanziata dall’Unione Europea.
1,PopSci_MultiplEYE,it,1,3,"Le COST Action sono reti di ricerca supportate dalla European Cooperation in Science and Technology, abbreviata COST."
1,PopSci_MultiplEYE,it,1,4,"In quanto ente finanziatore, COST sostiene la nostra rete in crescita di ricercatori in tutta Europa e oltre, offrendo supporto economico per varie attività di rete."
1,PopSci_MultiplEYE,it,2,5,"Queste attività includono riunioni dei gruppi di lavoro, scuole di formazione per trasmettere competenze ai ricercatori più giovani, e visite scientifiche di ricerca."
1,PopSci_MultiplEYE,it,2,6,Il titolo del progetto della COST Action MultiplEYE è:
1,PopSci_MultiplEYE,it,2,7,Promuovere la raccolta di dati oculometrici multilingue per la ricerca sul trattamento linguistico umano e automatico.
1,PopSci_MultiplEYE,it,2,8,Questo significa che l’obiettivo della  MultiplEYE COST Action è creare una rete interdisciplinare di gruppi di ricerca impegnati nella raccolta di dati di monitoraggio oculare durante la lettura in diverse lingue.
1,PopSci_MultiplEYE,it,3,9,"Lo scopo è supportare lo sviluppo di un grande corpus multilingue di dati oculometrici e consentire ai ricercatori di raccogliere dati condividendo conoscenze tra campi come linguistica, psicologia, patologia del linguaggio e della comunicazione e informatica."
1,PopSci_MultiplEYE,it,3,10,"Questi dati potranno poi essere utilizzati sia per studiare l’elaborazione linguistica umana da una prospettiva psicolinguistica, sia per migliorare e valutare l’elaborazione linguistica automatica da un punto di vista dell’apprendimento automatico."
1,PopSci_MultiplEYE,it,4,11,Che cos’è il “monitoraggio oculare”?
1,PopSci_MultiplEYE,it,4,12,Il monitoraggio oculare è il processo di misurazione del punto di fissazione — ovvero dove stai guardando — e dei movimenti oculari tra un punto e l’altro.
