stimulus_id,stimulus_name,language,screen_id,global_sent_index,text
1,PopSci_MultiplEYE,ru,1,0,Проект MultiplEYE
1,PopSci_MultiplEYE,ru,1,1,"Название “MultiplEYE” — это игра слов, сочетающая слово “мультилингвизм” (или “многоязычие”) и слово “eye” (рус. глаз) из “eye-tracking” (айтрекинг, “отслеживание взгляда”)."
1,PopSci_MultiplEYE,ru,1,2,"MultiplEYE — это проект от COST Action, финансируемый Европейским союзом."
1,PopSci_MultiplEYE,ru,1,3,"COST Actions — это исследовательские сети, поддерживаемые Европейским содружеством в области науки и техники, сокращенно COST."
1,PopSci_MultiplEYE,ru,1,4,"Являясь финансирующей организацией, COST поддерживает нашу растущую сеть исследователей по всей Европе и за ее пределами, предоставляя финансовую помощь для проведения различных совместных мероприятий."
1,PopSci_MultiplEYE,ru,2,5,"Эти мероприятия включают заседания рабочих групп, учебные семинары для обмена навыками с молодыми исследователями и научно-исследовательские встречи."
1,PopSci_MultiplEYE,ru,2,6,Цель проекта MultiplEYE COST Action – сбор данных о движении глаз на многих языках для исследования человеческой и машинной обработки языка.
1,PopSci_MultiplEYE,ru,2,7,"Другими словами, MultiplEYE COST Action направлен на развитие междисциплинарной сети исследовательских групп, работающих над сбором данных о движении глаз при чтении на нескольких языках."
1,PopSci_MultiplEYE,ru,3,8,"Задача проекта состоит в том, чтобы поддержать разработку большого многоязычного корпуса движений глаз и дать возможность исследователям собирать данные, делясь своими знаниями в различных областях, включая лингвистику, психологию, нарушения речи и компьютерные науки."
1,PopSci_MultiplEYE,ru,3,9,"Затем эти данные могут быть использованы для изучения обработки языка человеком с точки зрения психолингвистики, а также для улучшения и оценки компьютерной обработки языка с точки зрения машинного обучения."
1,PopSci_MultiplEYE,ru,4,10,"Что означает “отслеживание взгляда”, или “айтрекинг”?"
1,PopSci_MultiplEYE,ru,4,11,Айтрекинг — это процесс отслеживания точки взгляда (куда вы смотрите) и движений глаз между этими точками.
1,PopSci_MultiplEYE,ru,4,12,"Устройство, используемое для отслеживания положения глаз и их движений, называется “айтрекер”."
